Ateam_1,Ateam_2,Ateam_3,Bteam_1,Bteam_2,Bteam_3,Ateam_Score,Bteam_Score,Competition
78,5491,6690,8724,8046,1247,38,42,Granite State
78,4987,501,3566,151,1729,38,19,Granite State
78,126,1922,1768,8724,2262,51,72,Granite State
78,126,1922,1768,8724,2262,58,72,Granite State
95,1277,126,663,4987,3467,61,53,Granite State
95,88,5491,4925,8013,6763,44,31,Granite State
95,78,6328,8013,501,1729,89,51,Granite State
126,8724,4761,131,3566,1277,48,57,Granite State
126,5902,88,3566,663,5491,41,34,Granite State
131,6690,1512,6763,6895,95,49,56,Granite State
131,2262,4909,95,1922,501,70,59,Granite State
151,131,8013,3566,4925,6762,33,7,Granite State
151,467,8046,1058,6763,7407,44,68,Granite State
467,663,1922,88,8046,1512,43,36,Granite State
467,501,6690,3467,1721,126,37,51,Granite State
501,4925,7407,811,6762,2262,26,12,Granite State
501,1721,1307,5491,7407,5902,17,57,Granite State
501,3566,8708,6690,4909,1058,16,33,Granite State
663,6328,6763,78,1729,1058,63,33,Granite State
663,1058,126,6762,6690,1729,52,8,Granite State
663,4909,151,6690,1922,1307,36,18,Granite State
811,1307,1247,151,95,1721,10,41,Granite State
811,663,4761,1247,467,8013,12,50,Granite State
811,7913,4925,6895,8724,3467,15,74,Granite State
1058,4987,7913,2262,501,663,28,35,Granite State
1247,6895,4925,1307,8724,78,14,39,Granite State
1277,1721,5491,7913,8046,95,9,41,Granite State
1277,1307,6763,4761,7913,501,16,8,Granite State
1277,3467,78,131,1058,1307,60,50,Granite State
1307,2262,3566,8046,8013,6328,35,84,Granite State
1512,501,5902,1247,8708,1922,16,17,Granite State
1512,6762,4761,7913,78,151,14,47,Granite State
1721,8013,78,1512,8724,1922,50,33,Granite State
1721,811,8724,5902,1768,2262,24,41,Granite State
1721,6690,1247,6328,4761,1277,15,50,Granite State
1729,6763,4761,4909,8708,1721,8,24,Granite State
1729,1247,1512,8724,7407,4987,18,83,Granite State
1729,1922,88,3566,4761,6690,11,13,Granite State
1729,8046,4909,6895,5491,811,41,26,Granite State
1768,3467,7913,7407,1729,1277,47,61,Granite State
1768,1729,131,4987,2262,8013,63,34,Granite State
1768,1512,663,6328,131,1721,46,68,Granite State
1922,4761,1768,501,6762,8046,35,27,Granite State
1922,1277,8046,4925,6328,126,42,69,Granite State
1922,7407,811,1058,5491,8724,80,31,Granite State
2262,4925,151,6690,5902,663,18,42,Granite State
3467,6328,151,4909,1768,5491,92,58,Granite State
3467,1058,4925,1721,88,7913,39,29,Granite State
3467,95,151,1058,1277,1247,86,39,Granite State
3467,95,151,1058,1277,1247,84,38,Granite State
3467,95,151,4909,131,6690,88,63,Granite State
3467,95,151,4909,131,6690,84,62,Granite State
4761,1721,4987,6328,5491,6762,7,62,Granite State
4909,7913,6328,126,811,3566,22,32,Granite State
4909,6763,3566,2262,1512,1277,47,28,Granite State
4909,131,6690,663,467,8046,59,54,Granite State
4909,131,6690,663,467,8046,94,44,Granite State
4987,3566,8046,467,95,811,21,51,Granite State
5491,1247,2262,1512,811,8708,7,16,Granite State
5491,1307,4925,4987,126,131,3,62,Granite State
5902,4925,8724,5491,3467,1512,31,49,Granite State
5902,811,8013,151,126,6763,25,32,Granite State
6328,1512,6895,3467,88,467,69,35,Granite State
6328,7407,1729,88,6763,8013,74,47,Granite State
6328,7407,1729,88,6763,8013,73,54,Granite State
6328,7407,1729,1768,8724,2262,85,56,Granite State
6328,7407,1729,1768,8724,2262,101,58,Granite State
6328,7407,1729,3467,95,151,109,88,Granite State
6328,7407,1729,3467,95,151,87,48,Granite State
6690,126,7407,1768,4987,811,54,32,Granite State
6762,8013,6895,1277,467,1768,22,50,Granite State
6762,467,1058,88,4909,1247,34,78,Granite State
6762,78,8708,1307,1512,95,45,54,Granite State
6763,1247,1768,4925,663,131,41,65,Granite State
6763,3467,2262,126,1247,6762,72,46,Granite State
6895,8708,88,1247,131,7407,7,78,Granite State
6895,1277,4909,4987,5902,1729,64,5,Granite State
7407,78,1768,467,126,4909,82,60,Granite State
7407,95,3467,78,1922,6895,97,25,Granite State
7407,1307,467,1922,3566,7913,73,39,Granite State
7913,131,467,5902,151,1922,49,6,Granite State
7913,1729,8708,8046,1768,6690,14,45,Granite State
8013,1058,3566,1307,1768,6895,27,12,Granite State
8013,7913,663,4761,8708,3467,42,24,Granite State
8013,6690,95,1058,4761,5902,69,30,Granite State
8046,6895,5902,6763,6762,4987,33,18,Granite State
8046,6763,131,8708,7407,6328,27,73,Granite State
8708,5902,467,2262,6895,1721,23,12,Granite State
8708,95,8724,88,151,501,66,25,Granite State
8708,1277,4987,4925,88,78,28,42,Granite State
8724,2262,88,4761,4909,1307,42,18,Granite State
8724,151,6762,88,6328,1058,38,82,Granite State
