Ateam_1,Ateam_2,Ateam_3,Bteam_1,Bteam_2,Bteam_3,Ateam_Score,Bteam_Score,Competition
88,2084,5735,509,5563,4761,41,20,NorthShore
125,4761,348,4169,319,5563,76,22,NorthShore
125,5563,4909,2423,348,246,76,36,NorthShore
125,2877,2876,4905,2423,5459,90,50,NorthShore
125,5813,5563,5459,4546,5422,129,31,NorthShore
125,5813,5563,5459,4546,5422,81,45,NorthShore
125,5813,5563,319,4905,4761,108,59,NorthShore
125,5813,5563,319,4905,4761,122,49,NorthShore
125,5813,5563,1153,88,1474,91,99,NorthShore
125,5813,5563,1153,88,1474,97,61,NorthShore
125,5813,5563,1153,88,1474,104,49,NorthShore
175,1474,5735,2084,2423,1761,45,16,NorthShore
175,125,4311,3958,4546,509,81,24,NorthShore
238,5752,2423,6324,6529,319,46,6,NorthShore
238,2877,1073,88,1153,1965,76,64,NorthShore
238,2877,2342,348,5735,6201,68,49,NorthShore
238,2877,2342,348,5735,6201,104,52,NorthShore
238,2877,2342,1153,88,1474,88,96,NorthShore
238,2877,2342,1153,88,1474,65,111,NorthShore
246,2342,88,7822,1965,4169,68,24,NorthShore
246,4905,2877,8567,4761,3958,48,45,NorthShore
319,509,2877,1073,4176,4169,75,45,NorthShore
319,5459,4546,6529,5962,1073,73,32,NorthShore
319,5962,2713,175,4761,4905,55,92,NorthShore
319,125,1965,4311,2876,2342,86,21,NorthShore
348,2342,5563,5752,1073,1965,10,44,NorthShore
348,4905,5735,5422,4169,5459,83,33,NorthShore
348,4311,8567,6324,2713,88,25,72,NorthShore
509,5422,4176,5563,2713,2877,30,71,NorthShore
509,5735,8567,88,4905,319,56,105,NorthShore
1073,4909,2876,6201,8567,246,47,15,NorthShore
1073,5813,125,2084,4311,6529,101,6,NorthShore
1073,4909,509,319,4905,4761,64,69,NorthShore
1073,4909,509,319,4905,4761,60,61,NorthShore
1153,6324,1073,2713,4909,1474,87,49,NorthShore
1153,2423,4176,4546,88,5563,55,59,NorthShore
1153,2084,175,348,6201,4909,67,40,NorthShore
1153,88,1474,175,2713,3958,92,65,NorthShore
1153,88,1474,175,2713,3958,112,60,NorthShore
1474,6201,4169,509,5813,7822,44,77,NorthShore
1761,4546,4905,5563,1073,4311,39,42,NorthShore
1761,4311,5752,5735,4169,1153,30,51,NorthShore
1965,2713,348,246,125,1153,52,107,NorthShore
1965,3958,246,2876,6324,509,41,32,NorthShore
1965,5563,5422,246,6529,1474,18,36,NorthShore
2084,5752,6324,125,88,4169,2,74,NorthShore
2342,175,1965,5735,4546,4761,30,58,NorthShore
2423,1474,5563,5752,8567,5962,45,14,NorthShore
2423,7822,88,2877,5459,6529,63,40,NorthShore
2713,5813,2342,5735,1073,2423,86,44,NorthShore
2876,5459,2713,1761,319,5813,45,70,NorthShore
2876,246,319,2877,2084,5962,22,48,NorthShore
3958,1073,7822,4169,2423,2713,71,45,NorthShore
4169,175,4909,1965,2876,4176,18,14,NorthShore
4169,8567,4546,5422,238,1474,53,79,NorthShore
4176,2342,5459,238,1761,246,26,52,NorthShore
4176,246,5962,5813,5735,5752,22,85,NorthShore
4311,319,1153,2423,5422,4546,57,39,NorthShore
4311,88,6201,2342,5962,3958,68,14,NorthShore
4546,348,5813,2877,2342,1761,81,43,NorthShore
4546,1153,2876,5459,246,2084,44,26,NorthShore
4761,5422,5752,238,5813,5459,19,103,NorthShore
4761,238,2713,6201,2877,5752,53,56,NorthShore
4761,6324,6201,1073,4546,2342,24,51,NorthShore
4905,1965,509,4176,5752,7822,59,14,NorthShore
4905,4169,6529,2342,6201,5735,53,49,NorthShore
4909,88,5962,5422,1761,175,52,23,NorthShore
4909,246,4761,4311,238,3958,44,42,NorthShore
5459,7822,1474,2713,4176,4311,35,42,NorthShore
5459,3958,6201,1474,5752,319,35,23,NorthShore
5459,1761,125,88,175,2876,97,50,NorthShore
5563,3958,6324,1761,509,1073,8,58,NorthShore
5735,2876,1761,1474,348,1153,37,66,NorthShore
5752,4169,3958,4546,175,2877,26,44,NorthShore
5752,5459,509,4909,1153,8567,44,65,NorthShore
5813,2877,5422,175,348,6324,80,21,NorthShore
5813,1965,4311,2084,5422,6201,74,38,NorthShore
5813,1474,88,4905,5563,238,110,69,NorthShore
5962,1153,5422,3958,125,4905,37,85,NorthShore
5962,4761,2423,1153,509,6529,28,28,NorthShore
5962,5735,238,2877,6324,4909,58,61,NorthShore
5962,509,175,4176,238,348,39,57,NorthShore
6201,4905,5813,8567,1965,2423,99,41,NorthShore
6201,1761,4176,5422,6529,125,26,93,NorthShore
6324,8567,2342,5563,7822,175,24,30,NorthShore
6324,7822,5422,4761,4176,2084,15,18,NorthShore
6529,4176,8567,3958,2713,2084,14,46,NorthShore
6529,6201,238,1474,4311,6324,58,28,NorthShore
6529,4909,4546,7822,2876,4905,27,27,NorthShore
7822,6529,4761,2876,5962,348,29,43,NorthShore
7822,319,2084,4909,3958,5813,45,100,NorthShore
8567,2084,238,2713,5735,125,55,72,NorthShore
8567,1474,1761,2342,4909,7822,37,46,NorthShore
