Ateam_1,Ateam_2,Ateam_3,Bteam_1,Bteam_2,Bteam_3,Ateam_Score,Bteam_Score,Competition
155,237,1027,2785,1099,178,44,25,Waterbury
155,228,1099,3182,4572,3719,60,28,Waterbury
173,3566,3182,177,5856,176,35,81,Waterbury
173,1071,1027,5856,2064,1350,28,47,Waterbury
176,3461,5142,155,8085,2170,73,32,Waterbury
176,3719,558,3461,7462,237,79,36,Waterbury
177,716,2064,1099,236,8085,47,63,Waterbury
177,230,2067,173,6333,7694,79,17,Waterbury
177,176,8889,1099,3566,999,87,36,Waterbury
177,176,8889,1099,3566,999,96,37,Waterbury
177,176,8889,236,237,7869,99,48,Waterbury
177,176,8889,236,237,7869,122,49,Waterbury
177,176,8889,8085,230,3654,104,49,Waterbury
177,176,8889,8085,230,3654,74,61,Waterbury
178,7694,8085,3719,2064,7462,42,20,Waterbury
178,173,155,8889,716,3566,40,35,Waterbury
178,5856,181,228,7694,1991,16,48,Waterbury
181,3566,2170,1991,1124,2064,30,11,Waterbury
181,1071,1350,8085,8167,7462,28,49,Waterbury
228,3182,5142,7869,6346,558,44,24,Waterbury
228,155,3461,2067,5856,3719,40,30,Waterbury
228,155,3461,2067,5856,3719,54,11,Waterbury
230,3566,6346,178,8167,3461,31,30,Waterbury
236,3654,173,7694,155,1071,35,51,Waterbury
236,2785,8889,181,4628,155,36,38,Waterbury
236,237,7869,716,1027,5142,34,26,Waterbury
236,237,7869,716,1027,5142,58,45,Waterbury
237,8889,1124,228,176,1027,30,61,Waterbury
237,236,8167,155,5142,3654,27,38,Waterbury
237,2785,6346,716,173,999,34,39,Waterbury
558,999,155,1991,177,1071,37,46,Waterbury
558,5142,177,230,8889,3719,41,52,Waterbury
716,3461,181,1027,230,4572,30,60,Waterbury
716,178,1991,230,1071,2170,29,52,Waterbury
999,8167,1099,3566,178,5142,31,33,Waterbury
999,1124,8085,4572,173,5856,12,33,Waterbury
1027,3719,999,8889,6346,181,29,22,Waterbury
1027,4628,7694,558,4572,8167,35,41,Waterbury
1071,6346,1099,8889,1350,176,25,71,Waterbury
1071,236,716,3461,6346,3182,34,30,Waterbury
1071,3719,8167,236,228,2064,39,40,Waterbury
1099,177,237,7869,4628,1071,60,19,Waterbury
1124,558,6333,4628,1991,1099,32,22,Waterbury
1124,176,173,5142,716,8167,63,46,Waterbury
1350,7869,1124,1991,3461,558,28,25,Waterbury
1350,4572,177,6333,5856,716,45,46,Waterbury
1350,4628,3654,181,177,1027,36,62,Waterbury
2064,237,178,6346,5142,1350,46,31,Waterbury
2064,3654,999,1124,2170,178,34,26,Waterbury
2064,1071,3461,176,237,2067,56,83,Waterbury
2067,3182,4628,228,181,7462,30,19,Waterbury
2067,7869,228,2785,999,2170,39,18,Waterbury
2067,3461,1124,2785,177,3719,32,44,Waterbury
2170,1991,173,8167,2067,181,6,31,Waterbury
2170,6333,228,1027,558,236,29,63,Waterbury
2170,8889,3182,4628,237,8085,13,38,Waterbury
2170,7462,3654,173,558,228,16,49,Waterbury
2785,5142,4572,6333,178,1071,19,12,Waterbury
3182,1099,558,999,181,176,51,75,Waterbury
3182,8085,1991,5142,1027,7869,50,22,Waterbury
3461,999,230,3654,3182,7694,39,21,Waterbury
3461,7869,2785,8167,228,5856,26,32,Waterbury
3566,4572,2064,1071,558,237,42,31,Waterbury
3654,8085,3566,716,7694,2785,34,29,Waterbury
3719,1350,178,3654,6333,7869,26,33,Waterbury
3719,8085,228,1350,173,230,21,68,Waterbury
4572,2170,4628,177,1124,6346,13,45,Waterbury
4572,3654,8889,2064,3182,2785,23,29,Waterbury
4628,716,6346,8085,2067,4572,32,36,Waterbury
5142,181,6333,3566,5856,237,26,47,Waterbury
5142,2067,8889,3566,7694,3461,36,54,Waterbury
5856,2170,3461,1099,1027,8889,19,23,Waterbury
5856,7462,5142,2067,1027,3654,28,29,Waterbury
5856,1991,7869,230,2064,4628,10,44,Waterbury
6333,176,236,3654,178,177,75,53,Waterbury
6333,155,230,6346,2170,2067,72,43,Waterbury
6346,155,5856,558,1350,7462,29,18,Waterbury
6346,7462,4572,1991,3654,230,21,46,Waterbury
7462,1099,716,4628,228,1124,38,39,Waterbury
7462,1991,2067,7869,8889,177,26,64,Waterbury
7462,176,3182,999,1350,6333,80,39,Waterbury
7694,181,7869,176,155,716,16,99,Waterbury
7694,2067,999,1124,1099,3719,18,23,Waterbury
7694,3719,236,7462,2785,3566,31,13,Waterbury
7869,230,176,4572,1124,236,69,39,Waterbury
8085,6333,2785,237,230,7694,30,51,Waterbury
8085,1027,1350,236,999,3566,35,40,Waterbury
8085,230,1991,558,2064,3182,69,28,Waterbury
8085,230,1991,558,2064,3182,47,34,Waterbury
8085,230,3654,228,155,3461,60,53,Waterbury
8085,230,3654,228,155,3461,47,62,Waterbury
8085,230,3654,228,155,3461,68,49,Waterbury
8167,3566,4628,3719,7869,173,6,10,Waterbury
8167,2785,1991,3182,236,5856,18,35,Waterbury
8889,8167,155,1099,2064,6333,38,36,Waterbury
