Ateam_1,Ateam_2,Ateam_3,Bteam_1,Bteam_2,Bteam_3,Ateam_Score,Bteam_Score,Competition
61,181,195,5347,4097,1027,22,7,WesternNE
61,1027,7907,467,7153,6723,40,53,WesternNE
97,7153,61,178,5112,1071,52,47,WesternNE
176,2712,1729,3146,1071,7127,98,31,WesternNE
176,6620,1991,61,2262,2370,68,57,WesternNE
176,228,8604,1027,195,1729,75,54,WesternNE
177,8709,1071,2262,839,2168,56,89,WesternNE
177,176,7127,3464,1699,181,118,33,WesternNE
177,176,7127,3464,1699,181,107,37,WesternNE
177,176,7127,3146,2262,467,122,52,WesternNE
177,176,7127,3146,2262,467,112,57,WesternNE
177,176,7127,228,2168,195,114,87,WesternNE
177,176,7127,228,2168,195,106,75,WesternNE
178,3464,2712,7907,176,8709,38,97,WesternNE
181,177,3146,228,839,1991,48,44,WesternNE
181,97,228,2168,195,3464,42,46,WesternNE
195,97,1699,2370,177,467,18,78,WesternNE
195,3623,7153,97,3146,467,49,22,WesternNE
195,8709,1740,3623,6933,181,70,44,WesternNE
228,3654,3146,1740,1027,1699,66,75,WesternNE
228,61,4097,6933,8604,2262,39,62,WesternNE
228,7127,2370,6723,5347,571,74,23,WesternNE
228,2168,195,1729,6723,2712,84,34,WesternNE
228,2168,195,1729,6723,2712,93,53,WesternNE
228,2168,195,1071,7153,1991,110,48,WesternNE
228,2168,195,571,7153,1991,62,46,WesternNE
467,61,5112,181,1740,6620,26,46,WesternNE
571,1699,177,2262,178,7127,62,51,WesternNE
571,4097,2370,3623,2712,3146,55,32,WesternNE
839,5347,3146,7153,7127,1740,48,63,WesternNE
839,178,176,1740,6933,7907,66,38,WesternNE
839,2712,61,1699,467,228,31,71,WesternNE
1027,97,2370,3654,8604,8709,57,32,WesternNE
1027,5112,177,1991,2370,2712,84,45,WesternNE
1027,181,176,7153,5347,6933,90,50,WesternNE
1071,2168,6620,6723,1991,181,68,36,WesternNE
1071,4097,3654,6620,228,6723,36,50,WesternNE
1071,1991,6933,8709,61,5347,36,18,WesternNE
1071,7153,1991,3654,1740,6620,52,67,WesternNE
1071,7153,1991,3654,1740,6620,65,44,WesternNE
1071,7153,1991,3654,1740,6620,51,39,WesternNE
1699,5347,7127,3464,181,2262,44,64,WesternNE
1729,8604,5347,177,6723,97,35,49,WesternNE
1729,5112,3623,571,3654,1027,30,42,WesternNE
1729,2168,8709,61,571,8604,57,34,WesternNE
1729,6620,3464,5347,1740,228,56,90,WesternNE
1740,2262,1071,1699,3623,61,66,34,WesternNE
1991,8604,177,97,1740,839,38,23,WesternNE
2168,3623,1740,1699,1071,2712,60,51,WesternNE
2168,7127,177,4097,8709,3623,86,20,WesternNE
2262,195,1991,8709,228,7153,39,84,WesternNE
2262,228,571,1991,1027,8709,52,30,WesternNE
2370,6723,8604,467,181,178,43,39,WesternNE
2370,1699,6620,7127,839,1729,64,29,WesternNE
2712,6723,7127,7907,195,839,31,21,WesternNE
2712,1027,2168,177,3654,6620,63,68,WesternNE
2712,8709,6933,2168,3146,4097,32,63,WesternNE
3146,1729,61,7127,97,3654,43,30,WesternNE
3146,571,178,176,177,7153,48,99,WesternNE
3146,2262,467,1027,2370,5112,61,59,WesternNE
3146,2262,467,1027,2370,5112,67,62,WesternNE
3464,7153,7907,177,6933,839,56,43,WesternNE
3623,839,1699,5112,6620,7907,22,22,WesternNE
3654,7907,2262,8604,2712,4097,40,23,WesternNE
3654,1991,178,195,7127,8604,39,40,WesternNE
3654,1729,6723,7907,3146,1991,43,31,WesternNE
4097,178,1740,2370,2168,176,44,100,WesternNE
4097,3464,839,1991,1699,1729,28,68,WesternNE
5112,176,5347,6620,4097,195,79,25,WesternNE
5112,1740,6723,467,3623,1027,49,42,WesternNE
5112,2262,97,1740,2370,3464,37,40,WesternNE
5347,467,195,571,7907,2168,25,54,WesternNE
5347,2370,3654,839,1071,7153,69,64,WesternNE
6620,467,571,3623,3654,3464,40,40,WesternNE
6620,7153,2712,4097,6723,176,40,91,WesternNE
6723,6933,2168,7153,2262,1699,52,58,WesternNE
6723,7907,3623,3464,1991,97,14,56,WesternNE
6933,3146,1027,3464,61,1071,59,34,WesternNE
6933,176,97,181,1699,5112,78,49,WesternNE
7127,571,181,2712,467,3654,20,58,WesternNE
7127,3464,5112,178,1729,6933,41,41,WesternNE
7153,2168,181,97,1729,571,75,26,WesternNE
7907,178,228,8709,2370,5112,60,13,WesternNE
8604,1071,3623,6933,5112,4097,26,28,WesternNE
8604,7907,467,3146,176,2262,21,90,WesternNE
8604,6620,178,1071,571,195,27,49,WesternNE
8709,3464,467,178,177,5347,39,49,WesternNE
